附表3:系统功能点计数表,,,,,,,,,,,,,
序号,子系统,一级功能模块,功能模块名称,事务事项编号及名称,功能名称,数据类型,是否计算,,调整复用度后的分值,复用度,,是否实现,
36,,,,,角色列表,EQ,4,1,1.33 ,1,,否,数据安全
37,,,,,角色分配,EI,4,1,1.33 ,1,,否,数据安全
38,,,监控管理,,操作系统监控及报警（CPU）,EO,5,1,1.67 ,1,,否,数据安全
39,,,,,操作系统监控及报警（内存）,EO,5,1,1.67 ,1,,否,数据安全
40,,,,,操作系统监控及报警（磁盘）,EO,5,1,1.67 ,1,,否,数据安全
41,,,,,数据库监控及报警,EO,5,1,1.67 ,1,,否,数据安全
42,,,,,中间件监控及报警（JVM）,EO,5,1,1.67 ,1,,否,数据安全
43,,,,,中间件监控及报警（Redis）,EO,5,1,1.67 ,1,,否,数据安全
44,,,项目管理,,新建项目,EI,4,1,1.33 ,1,,否,数据安全
45,,,,,删除项目,EI,4,1,1.33 ,1,,否,数据安全
46,,,,,归档项目,EI,4,1,1.33 ,1,,否,数据安全
47,,,,,项目列表,EQ,4,1,1.33 ,1,,否,数据安全
48,,,,,项目流程审核配置,EI,4,1,1.33 ,1,,否,数据安全
49,,,,,项目权限配置,EI,4,1,1.33 ,1,,否,数据安全
50,,,,,项目结果保存,EI,4,1,1.33 ,1,,否,数据安全
51,,,,,项目台账导出,EQ,4,1,1.33 ,1,,否,数据安全
52,,,节点管理,,节点建立合作,EI,4,1,1.33 ,1,,否,数据安全
53,,,,,节点取消合作,EI,4,1,1.33 ,1,,否,数据安全
54,,,,,节点列表,EQ,4,1,1.33 ,1,,否,数据安全
55,,,,,节点属性编辑,EI,4,1,1.33 ,1,,否,数据安全
56,,,,,节点属性展示,EQ,4,1,1.33 ,1,,否,数据安全
57,,,,,接入方管理,ILF,10,1,3.33 ,1,,否,数据安全
58,,,,,合作方管理,ILF,10,1,3.33 ,1,,否,数据安全
59,,,,,节点审批工作流,ILF,10,1,3.33 ,1,,否,数据安全
60,,,,,节点数据交换,ILF,10,1,3.33 ,1,,否,数据安全
61,,,系统设置,,网络地址设置,EI,4,1,1.33 ,1,,否,数据安全
62,,,,,时间配置,EI,4,1,1.33 ,1,,否,数据安全
63,,,,,登录限制（首次修改密码）,EI,4,1,1.33 ,1,,否,数据安全
64,,,,,登录限制（错误次数锁定）,EI,4,1,1.33 ,1,,否,数据安全
65,,,,,登录限制（错误锁定时长）,EI,4,1,1.33 ,1,,否,数据安全
66,,,,,平台个性化设置,EI,4,1,1.33 ,1,,否,数据安全
